$p$ (bar),$T$ ($^{\circ}$C),$v_f$ (m$^3$/kg),$v_g$ (m$^3$/kg),$u_f$ (kJ/kg),$u_g$ (kJ/kg),$h_f$ (kJ/kg),$h_{fg}$ (kJ/kg),$h_g$ (kJ/kg),$s_f$ (kJ/kg$\cdot$K),$s_g$ (kJ/kg$\cdot$K)
0.04,28.96,1.004,34.8,121.45,2415.2,121.46,2432.9,2554.4,0.423,8.475
0.06,36.16,1.006,23.739,151.53,2425,151.53,2415.9,2567.4,0.521,8.33
0.08,41.51,1.008,18.103,173.87,2432.2,173.88,2403.1,2577,0.593,8.229
0.1,45.81,1.01,14.674,191.82,2437.9,191.83,2392.8,2584.7,0.649,8.15
0.2,60.06,1.017,7.649,251.38,2456.7,251.4,2358.3,2609.7,0.832,7.909
0.3,69.1,1.022,5.229,289.2,2468.4,289.23,2336.1,2625.3,0.944,7.769
0.4,75.87,1.027,3.993,317.53,2477,317.58,2319.2,2636.8,1.026,7.67
0.5,81.33,1.03,3.24,340.44,2483.9,340.49,2305.4,2645.9,1.091,7.594
0.6,85.94,1.033,2.732,359.79,2489.6,359.86,2293.6,2653.5,1.145,7.594
0.7,89.95,1.036,2.365,376.63,2494.5,376.7,2283.3,2660,1.192,7.532
0.8,93.5,1.038,2.087,391.58,2498.8,391.66,2274.1,2665.8,1.233,7.48
0.9,96.71,1.041,1.869,405.06,2502.6,405.15,2265.7,2670.9,1.27,7.435
1,99.63,1.043,1.694,417.36,2506.1,417.46,2258,2675.5,1.303,7.359
1.5,111.4,1.053,1.159,466.94,2519.7,467.11,2226.5,2693.6,1.434,7.223
2,120.2,1.061,0.886,504.49,2529.5,504.7,2201.9,2706.7,1.53,7.127
2.5,127.4,1.067,0.719,535.1,2537.2,535.37,2181.5,2716.9,1.607,7.053
3,133.6,1.073,0.606,561.15,2543.6,561.47,2163.8,2725.3,1.672,6.992
3.5,138.9,1.079,0.524,583.95,2546.9,584.33,2148.1,2732.4,1.728,6.941
4,143.6,1.084,0.463,604.31,2553.6,604.74,2133.8,2738.6,1.777,6.896
4.5,147.9,1.088,0.414,622.25,2557.6,623.25,2120.7,2743.9,1.821,6.857
5,151.9,1.093,0.375,639.68,2561.2,640.23,2108.5,2748.7,1.861,6.821
6,158.9,1.101,0.316,669.9,2567.4,670.56,2086.3,2756.8,1.931,6.76
7,165,1.108,0.273,696.44,2572.5,697.22,2066.3,2763.5,1.992,6.708
8,170.4,1.115,0.24,720.22,2576.8,721.11,2048,2769.1,2.046,6.663
9,175.4,1.121,0.215,741.83,2580.5,742.83,2031.1,2773.9,2.095,6.623
10,179.9,1.127,0.194,761.68,2583.6,762.81,2015.3,2778.1,2.139,6.586
15,198.3,1.154,0.132,843.16,2594.5,844.84,1947.3,2792.2,2.315,6.445
20,212.4,1.177,0.1,906.44,2600.3,908.79,1890.7,2799.5,2.447,6.341
25,224,1.197,0.08,959.11,2603.1,962.11,1841,2803.1,2.555,6.258
30,233.9,1.217,0.067,1004.8,2604.1,1008.4,1795.7,2804.2,2.646,6.187
35,242.6,1.235,0.057,1045.4,2603.7,1049.8,1753.7,2803.4,2.725,6.125
40,250.4,1.252,0.05,1082.3,2602.3,1087.3,1714.1,2801.4,2.796,6.07
45,257.5,1.269,0.044,1116.2,2600.1,1121.9,1676.4,2798.3,2.861,6.02
50,264,1.286,0.039,1147.8,2597.1,1154.2,1640.1,2794.3,2.92,5.973
60,275.6,1.319,0.032,1205.4,2589.7,1213.4,1571,2784.3,3.027,5.889
70,285.9,1.351,0.027,1257.6,2580.5,1267,1505.1,2772.1,3.121,5.813
80,295.1,1.384,0.024,1305.6,2569.8,1316.6,1441.3,2758,3.207,5.743
90,303.4,1.418,0.02,1350.5,2557.8,1363.3,1378.9,2742.1,3.286,5.677
100,311.1,1.452,0.018,1393,2544.4,1407.6,1317.1,2724.7,3.36,5.614
110,318.2,1.489,0.016,1433.7,2529.8,1450.1,1255.5,2705.6,3.43,5.553
120,324.8,1.5267,0.0143,1473,2513.7,1491.3,1193.6,2684.9,3.4962,5.4924
130,330.9,1.5671,0.0128,1511.1,2496.1,1531.5,1130.7,2662.2,3.5606,5.4323
140,336.8,1.6107,0.0115,1548.6,2476.8,1571.1,1066.5,2637.6,3.6232,5.3717
150,342.2,1.6581,0.0103,1585.6,2455.5,1610.5,1000,2610.5,3.6848,5.3098
160,347.4,1.7107,0.0093,1622.7,2431.7,1650.1,930.6,2580.6,3.7461,5.2455
170,352.4,1.7702,0.0084,1660.2,2405,1690.3,856.9,2547.2,3.8079,5.1777
180,357.1,1.8397,0.0075,1698.9,2374.3,1732,777.1,2509.1,3.8715,5.1044
190,361.5,1.9243,0.0067,1739.9,2338.1,1776.5,688,2464.5,3.9388,5.0228
200,365.8,2.036,0.0058,1785.6,2293,1826.3,583.4,2409.7,4.0139,4.9269
220.9,374.1,3.155,0.0032,2029.6,2029.6,2099.3,0,2099.3,4.4298,4.4298
